------------------------------
Dylos Logger v 2.0.0.0
Unit: DC1700 v 2.08
Date/Time: 02-20-17 09:17
------------------------------
Particles per cubic foot / 100
------------------------------
Date/Time, Small, Large
02-15-17 10:39, 14374, 1071
02-15-17 10:40, 14423, 1089
02-15-17 10:41, 15080, 1099
02-15-17 10:42, 16039, 1204
02-15-17 10:43, 16362, 2668
02-15-17 10:44, 13276, 1089
02-15-17 10:45, 13353, 1281
02-15-17 10:46, 13224, 1488
02-15-17 10:47, 12961, 1571
02-15-17 10:48, 12674, 1560
02-15-17 10:49, 12519, 1099
02-15-17 10:50, 11877, 905
02-15-17 10:51, 11705, 813
02-15-17 10:52, 11616, 696
02-15-17 10:53, 11405, 600
02-15-17 10:54, 11439, 568
02-15-17 10:55, 11531, 535
02-15-17 10:56, 11462, 457
02-15-17 10:57, 12060, 466
02-15-17 10:58, 12195, 446
02-15-17 10:59, 12670, 460
02-15-17 11:00, 12654, 528
02-15-17 11:01, 12289, 583
02-15-17 11:02, 11889, 578
02-15-17 11:03, 11505, 581
02-15-17 11:04, 10946, 581
02-15-17 11:05, 10734, 616
02-15-17 11:06, 10166, 586
02-15-17 11:07, 9821, 579
02-15-17 11:08, 9394, 575
02-15-17 11:09, 9009, 573
02-15-17 11:10, 8948, 582
02-15-17 11:11, 8284, 552
02-15-17 11:12, 7844, 544
02-15-17 11:13, 7804, 541
02-15-17 11:14, 7774, 544
02-15-17 11:15, 7487, 564
02-15-17 11:16, 7600, 578
02-15-17 11:17, 7999, 626
02-15-17 11:18, 8353, 660
02-15-17 11:19, 7986, 626
02-15-17 11:20, 7979, 638
02-15-17 11:21, 7975, 652
02-15-17 11:22, 7995, 676
02-15-17 11:23, 8121, 654
02-15-17 11:24, 8463, 679
02-15-17 11:25, 8540, 627
02-15-17 11:26, 8460, 589
02-15-17 11:27, 8436, 590
02-15-17 11:28, 8616, 604
02-15-17 11:29, 8542, 638
02-15-17 11:30, 9025, 619
02-15-17 11:31, 9265, 647
02-15-17 11:32, 9107, 643
02-15-17 11:33, 9159, 644
02-15-17 11:34, 9290, 592
02-15-17 11:35, 9132, 591
02-15-17 11:36, 9307, 610
02-15-17 11:37, 9293, 641
02-15-17 11:38, 9329, 638
02-15-17 11:39, 9684, 699
02-15-17 11:40, 9212, 478
02-15-17 11:41, 8860, 404
02-15-17 11:42, 8995, 379
02-15-17 11:43, 8976, 392
02-15-17 11:44, 9004, 407
02-15-17 11:45, 8902, 380
02-15-17 11:46, 8700, 378
02-15-17 11:47, 9456, 464
02-15-17 11:48, 9699, 458
02-15-17 11:49, 9040, 382
02-15-17 11:50, 9330, 413
02-15-17 11:51, 9267, 344
02-15-17 11:52, 8996, 338
02-15-17 11:53, 8627, 340
02-15-17 11:54, 9144, 400
02-15-17 11:55, 8905, 411
02-15-17 11:56, 8341, 372
02-15-17 11:57, 8422, 366
02-15-17 11:58, 7956, 347
02-15-17 11:59, 7707, 355
02-15-17 12:00, 7275, 336
02-15-17 12:01, 7175, 339
02-15-17 12:02, 6805, 339
02-15-17 12:03, 6785, 350
02-15-17 12:04, 6336, 325
02-15-17 12:05, 6209, 339
02-15-17 12:06, 6036, 322
02-15-17 12:07, 5834, 325
02-15-17 12:08, 5820, 344
02-15-17 12:09, 5537, 326
02-15-17 12:10, 5494, 330
02-15-17 12:11, 5537, 323
02-15-17 12:12, 5285, 314
02-15-17 12:13, 5195, 306
02-15-17 12:14, 5244, 340
02-15-17 12:15, 5254, 332
02-15-17 12:16, 5229, 334
02-15-17 12:17, 5049, 315
02-15-17 12:18, 5036, 320
02-15-17 12:19, 4932, 312
02-15-17 12:20, 4966, 330
02-15-17 12:21, 4855, 330
02-15-17 12:22, 4988, 332
02-15-17 12:23, 5453, 373
02-15-17 12:24, 5542, 344
02-15-17 12:25, 6109, 359
02-15-17 12:26, 5576, 279
02-15-17 12:27, 9318, 1597
02-15-17 12:28, 7908, 613
02-15-17 12:29, 8352, 699
02-15-17 12:30, 7544, 551
02-15-17 12:31, 7138, 493
02-15-17 12:32, 6997, 494
02-15-17 12:33, 6996, 495
02-15-17 12:34, 6960, 503
02-15-17 12:35, 6759, 499
02-15-17 12:36, 6501, 483
02-15-17 12:37, 6384, 476
02-15-17 12:38, 6227, 478
02-15-17 12:39, 6095, 492
02-15-17 12:40, 5967, 450
02-15-17 12:41, 5807, 455
02-15-17 12:42, 5802, 454
02-15-17 12:43, 5548, 433
02-15-17 12:44, 5472, 421
02-15-17 12:45, 5361, 400
02-15-17 12:46, 5290, 421
02-15-17 12:47, 5333, 400
02-15-17 12:48, 5097, 397
02-15-17 12:49, 5129, 408
02-15-17 12:50, 4985, 406
02-15-17 12:51, 4948, 368
02-15-17 12:52, 4826, 379
02-15-17 12:53, 4793, 373
02-15-17 12:54, 4830, 370
02-15-17 12:55, 4674, 355
02-15-17 12:56, 4771, 346
02-15-17 12:57, 4696, 333
02-15-17 12:58, 4743, 344
02-15-17 12:59, 4579, 338
02-15-17 13:00, 4571, 340
02-15-17 13:01, 4594, 342
02-15-17 13:02, 4611, 339
02-15-17 13:03, 4619, 346
02-15-17 13:04, 4618, 359
02-15-17 13:05, 4656, 390
02-15-17 13:06, 5419, 557
02-15-17 13:07, 5323, 518
02-15-17 13:08, 5202, 504
02-15-17 13:09, 5338, 530
02-15-17 13:10, 6127, 670
02-15-17 13:11, 5324, 510
02-15-17 13:12, 4813, 398
02-15-17 13:13, 4755, 382
02-15-17 13:14, 4673, 351
02-15-17 13:15, 4777, 368
02-15-17 13:16, 4822, 331
02-15-17 13:17, 4700, 333
02-15-17 13:18, 4677, 325
02-15-17 13:19, 4733, 319
02-15-17 13:20, 4617, 311
02-15-17 13:21, 5144, 464
02-15-17 13:22, 5599, 592
02-15-17 13:23, 5421, 547
02-15-17 13:24, 5628, 556
02-15-17 13:25, 6132, 716
02-15-17 13:26, 6231, 737
02-15-17 13:27, 6434, 810
