------------------------------
Dylos Logger v 2.0.0.0
Unit: DC1700 v 2.08
Date/Time: 01-30-17 13:17
------------------------------
Particles per cubic foot / 100
------------------------------
Date/Time, Small, Large
01-30-17 10:34, 45981, 1668
01-30-17 10:35, 45104, 1453
01-30-17 10:36, 44097, 1326
01-30-17 10:37, 43405, 1245
01-30-17 10:38, 42292, 1138
01-30-17 10:39, 42010, 1082
01-30-17 10:40, 41561, 1022
01-30-17 10:41, 41106, 1018
01-30-17 10:42, 40591, 982
01-30-17 10:43, 40103, 948
01-30-17 10:44, 40300, 963
01-30-17 10:45, 39816, 905
01-30-17 10:46, 39404, 864
01-30-17 10:47, 39152, 855
01-30-17 10:48, 38913, 883
01-30-17 10:49, 38820, 815
01-30-17 10:50, 38401, 784
01-30-17 10:51, 38208, 763
01-30-17 10:52, 38062, 819
01-30-17 10:53, 38172, 770
01-30-17 10:54, 37991, 733
01-30-17 10:55, 37740, 715
01-30-17 10:56, 37489, 745
01-30-17 10:57, 37313, 738
01-30-17 10:58, 37128, 729
01-30-17 10:59, 37240, 719
01-30-17 11:00, 36872, 736
01-30-17 11:01, 36962, 719
01-30-17 11:02, 36739, 727
01-30-17 11:03, 36787, 696
01-30-17 11:04, 36745, 691
01-30-17 11:05, 36516, 717
01-30-17 11:06, 36373, 727
01-30-17 11:07, 36340, 692
01-30-17 11:08, 36276, 655
01-30-17 11:09, 36491, 689
01-30-17 11:10, 36429, 685
01-30-17 11:11, 36340, 668
01-30-17 11:12, 36618, 859
01-30-17 11:13, 37314, 802
01-30-17 11:14, 36835, 760
01-30-17 11:15, 36699, 732
01-30-17 11:16, 36892, 707
01-30-17 11:17, 36730, 694
01-30-17 11:18, 36733, 701
01-30-17 11:19, 36840, 716
01-30-17 11:20, 36680, 745
01-30-17 11:21, 36632, 702
01-30-17 11:22, 36635, 707
01-30-17 11:23, 36819, 697
01-30-17 11:24, 36739, 649
01-30-17 11:25, 36653, 648
01-30-17 11:26, 36778, 633
01-30-17 11:27, 37038, 602
01-30-17 11:28, 37164, 603
01-30-17 11:29, 37728, 613
01-30-17 11:30, 37870, 630
01-30-17 11:31, 38442, 581
01-30-17 11:32, 37927, 533
01-30-17 11:33, 37781, 558
01-30-17 11:34, 37795, 542
01-30-17 11:35, 37666, 562
01-30-17 11:36, 37753, 555
01-30-17 11:37, 37802, 548
01-30-17 11:38, 38069, 547
01-30-17 11:39, 38009, 540
01-30-17 11:40, 37978, 573
01-30-17 11:41, 37695, 1081
01-30-17 11:42, 37619, 749
01-30-17 11:43, 37414, 651
01-30-17 11:44, 37283, 561
01-30-17 11:45, 37239, 568
01-30-17 11:46, 37163, 558
01-30-17 11:47, 36817, 554
01-30-17 11:48, 36965, 567
01-30-17 11:49, 36802, 558
01-30-17 11:50, 36874, 556
01-30-17 11:51, 36762, 521
01-30-17 11:52, 36602, 533
01-30-17 11:53, 36372, 531
01-30-17 11:54, 36359, 508
01-30-17 11:55, 36282, 526
01-30-17 11:56, 36157, 501
01-30-17 11:57, 36027, 503
01-30-17 11:58, 35897, 506
01-30-17 11:59, 35849, 480
01-30-17 12:00, 35766, 498
01-30-17 12:01, 35679, 513
01-30-17 12:02, 35478, 472
01-30-17 12:03, 35529, 485
01-30-17 12:04, 35286, 475
01-30-17 12:05, 35299, 484
01-30-17 12:06, 35197, 477
01-30-17 12:07, 35117, 472
01-30-17 12:08, 35139, 462
01-30-17 12:09, 35100, 450
01-30-17 12:10, 34931, 453
01-30-17 12:11, 34888, 456
01-30-17 12:12, 34685, 476
01-30-17 12:13, 34685, 470
01-30-17 12:14, 34730, 444
01-30-17 12:15, 34552, 473
01-30-17 12:16, 34639, 431
01-30-17 12:17, 34520, 444
01-30-17 12:18, 34342, 465
01-30-17 12:19, 34197, 463
01-30-17 12:20, 34154, 440
01-30-17 12:21, 34045, 451
01-30-17 12:22, 34022, 471
01-30-17 12:23, 33878, 469
01-30-17 12:24, 33593, 497
01-30-17 12:25, 33536, 495
01-30-17 12:26, 33334, 503
01-30-17 12:27, 33148, 473
01-30-17 12:28, 33009, 487
01-30-17 12:29, 32915, 486
01-30-17 12:30, 32935, 519
01-30-17 12:31, 32775, 499
01-30-17 12:32, 32625, 511
01-30-17 12:33, 32379, 506
01-30-17 12:34, 32293, 506
01-30-17 12:35, 32358, 521
01-30-17 12:36, 32061, 515
01-30-17 12:37, 31852, 498
01-30-17 12:38, 31709, 499
01-30-17 12:39, 31783, 530
01-30-17 12:40, 31720, 471
01-30-17 12:41, 31501, 475
01-30-17 12:42, 31342, 490
01-30-17 12:43, 31369, 463
01-30-17 12:44, 31485, 481
01-30-17 12:45, 31435, 467
01-30-17 12:46, 31407, 458
01-30-17 12:47, 31214, 455
01-30-17 12:48, 31520, 459
01-30-17 12:49, 31545, 463
01-30-17 12:50, 31402, 441
01-30-17 12:51, 31482, 437
01-30-17 12:52, 31493, 438
01-30-17 12:53, 31666, 443
01-30-17 12:54, 31587, 435
01-30-17 12:55, 31644, 459
01-30-17 12:56, 31452, 422
01-30-17 12:57, 31429, 435
01-30-17 12:58, 31328, 504
01-30-17 12:59, 31340, 554
01-30-17 13:00, 31261, 518
01-30-17 13:01, 31892, 662
01-30-17 13:02, 31908, 672
01-30-17 13:03, 31697, 640
01-30-17 13:04, 32253, 616
01-30-17 13:05, 32059, 661
01-30-17 13:06, 32546, 642
01-30-17 13:07, 28210, 528
01-30-17 13:08, 28796, 576
01-30-17 13:09, 28415, 525
01-30-17 13:10, 28624, 586
01-30-17 13:11, 28393, 540
01-30-17 13:12, 28212, 541
01-30-17 13:13, 28443, 528
01-30-17 13:14, 27888, 518
01-30-17 13:15, 27752, 507
01-30-17 13:16, 27791, 489
01-30-17 13:17, 27599, 477
