------------------------------
Dylos Logger v 2.0.0.0
Unit: DC1700 v 2.08
Date/Time: 02-03-17 10:07
------------------------------
Particles per cubic foot / 100
------------------------------
Date/Time, Small, Large
02-01-17 13:28, 5612, 462
02-01-17 13:29, 5457, 411
02-01-17 13:30, 5400, 397
02-01-17 13:31, 4927, 289
02-01-17 13:32, 4754, 256
02-01-17 13:33, 4625, 248
02-01-17 13:34, 4730, 259
02-01-17 13:35, 4595, 235
02-01-17 13:36, 4644, 238
02-01-17 13:37, 4584, 205
02-01-17 13:38, 4460, 176
02-01-17 13:39, 4436, 180
02-01-17 13:40, 4459, 168
02-01-17 13:41, 4450, 166
02-01-17 13:42, 4382, 166
02-01-17 13:43, 4439, 161
02-01-17 13:44, 4374, 190
02-01-17 13:45, 4454, 199
02-01-17 13:46, 4508, 201
02-01-17 13:47, 4383, 197
02-01-17 13:48, 4324, 186
02-01-17 13:49, 4263, 190
02-01-17 13:50, 4266, 180
02-01-17 13:51, 4244, 220
02-01-17 13:52, 4096, 166
02-01-17 13:53, 4157, 147
02-01-17 13:54, 4064, 102
02-01-17 13:55, 4141, 78
02-01-17 13:56, 4391, 84
02-01-17 13:57, 4667, 78
02-01-17 13:58, 5252, 80
02-01-17 13:59, 5683, 79
02-01-17 14:00, 5848, 84
02-01-17 14:01, 5649, 81
02-01-17 14:02, 5408, 78
02-01-17 14:03, 5679, 101
02-01-17 14:04, 6704, 269
02-01-17 14:05, 6684, 257
02-01-17 14:06, 7976, 526
02-01-17 14:07, 7916, 571
02-01-17 14:08, 7393, 566
02-01-17 14:09, 7737, 697
02-01-17 14:10, 6586, 499
02-01-17 14:11, 6138, 472
02-01-17 14:12, 6924, 582
02-01-17 14:13, 8192, 903
02-01-17 14:14, 9343, 1149
02-01-17 14:15, 8477, 1045
02-01-17 14:16, 8011, 920
02-01-17 14:17, 6870, 720
02-01-17 14:18, 6983, 778
02-01-17 14:19, 6875, 726
02-01-17 14:20, 7014, 817
02-01-17 14:21, 6379, 663
02-01-17 14:22, 6396, 650
02-01-17 14:23, 6232, 638
02-01-17 14:24, 6304, 683
02-01-17 14:25, 6204, 697
02-01-17 14:26, 6066, 645
02-01-17 14:27, 5965, 638
02-01-17 14:28, 5961, 644
02-01-17 14:29, 5859, 635
02-01-17 14:30, 5913, 660
02-01-17 14:31, 5774, 640
02-01-17 14:32, 5671, 599
02-01-17 14:33, 5581, 610
02-01-17 14:34, 5614, 602
02-01-17 14:35, 5561, 582
02-01-17 14:36, 5510, 565
02-01-17 14:37, 5477, 584
02-01-17 14:38, 5416, 528
02-01-17 14:39, 5348, 527
02-01-17 14:40, 5374, 558
02-01-17 14:41, 5374, 527
02-01-17 14:42, 5313, 510
02-01-17 14:43, 5338, 507
02-01-17 14:44, 5261, 516
02-01-17 14:45, 5291, 497
02-01-17 14:46, 5293, 492
02-01-17 14:47, 5273, 504
02-01-17 14:48, 5245, 497
02-01-17 14:49, 5274, 495
02-01-17 14:50, 5131, 477
02-01-17 14:51, 5128, 451
02-01-17 14:52, 5110, 482
02-01-17 14:53, 5154, 455
02-01-17 14:54, 5135, 446
02-01-17 14:55, 5190, 467
02-01-17 14:56, 5185, 469
02-01-17 14:57, 5099, 451
02-01-17 14:58, 5106, 457
02-01-17 14:59, 5114, 457
02-01-17 15:00, 5125, 460
02-01-17 15:01, 5145, 441
02-01-17 15:02, 5076, 426
02-01-17 15:03, 5207, 493
02-01-17 15:04, 5132, 501
02-01-17 15:05, 5123, 526
02-01-17 15:06, 5133, 549
