------------------------------
Dylos Logger v 2.0.0.0
Unit: DC1700 v 2.08
Date/Time: 02-14-17 10:15
------------------------------
Particles per cubic foot / 100
------------------------------
Date/Time, Small, Large
02-13-17 10:50, 8547, 585
02-13-17 10:51, 8012, 627
02-13-17 10:52, 7410, 573
02-13-17 10:53, 7041, 546
02-13-17 10:54, 6724, 539
02-13-17 10:55, 6441, 557
02-13-17 10:56, 6332, 529
02-13-17 10:57, 6220, 521
02-13-17 10:58, 6099, 505
02-13-17 10:59, 5969, 511
02-13-17 11:00, 5835, 505
02-13-17 11:01, 5830, 468
02-13-17 11:02, 5746, 484
02-13-17 11:03, 5697, 501
02-13-17 11:04, 5623, 457
02-13-17 11:05, 5622, 481
02-13-17 11:06, 5558, 443
02-13-17 11:07, 5568, 446
02-13-17 11:08, 5492, 441
02-13-17 11:09, 5560, 470
02-13-17 11:10, 5463, 431
02-13-17 11:11, 5394, 428
02-13-17 11:12, 5460, 436
02-13-17 11:13, 5547, 478
02-13-17 11:14, 5467, 512
02-13-17 11:15, 5538, 546
02-13-17 11:16, 5358, 505
02-13-17 11:17, 5444, 550
02-13-17 11:18, 5502, 563
02-13-17 11:19, 5602, 549
02-13-17 11:20, 5565, 535
02-13-17 11:21, 5473, 548
02-13-17 11:22, 5417, 514
02-13-17 11:23, 5460, 523
02-13-17 11:24, 5461, 511
02-13-17 11:25, 5455, 516
02-13-17 11:26, 5535, 551
02-13-17 11:27, 5400, 502
02-13-17 11:28, 5602, 590
02-13-17 11:29, 5444, 530
02-13-17 11:30, 5394, 494
02-13-17 11:31, 5508, 563
02-13-17 11:32, 5597, 574
02-13-17 11:33, 5797, 719
02-13-17 11:34, 5576, 606
02-13-17 11:35, 6125, 895
02-13-17 11:36, 6293, 946
02-13-17 11:37, 6528, 1147
02-13-17 11:38, 6896, 1290
02-13-17 11:39, 6627, 1179
02-13-17 11:40, 6933, 1316
02-13-17 11:41, 7584, 1706
02-13-17 11:42, 7348, 1555
02-13-17 11:43, 7138, 1424
02-13-17 11:44, 7266, 1528
02-13-17 11:45, 7347, 1541
02-13-17 11:46, 7992, 1900
02-13-17 11:47, 7331, 1541
02-13-17 11:48, 7561, 1621
02-13-17 11:49, 7112, 1409
02-13-17 11:50, 6521, 1081
02-13-17 11:51, 6337, 1038
02-13-17 11:52, 6410, 1050
02-13-17 11:53, 6319, 1002
02-13-17 11:54, 6276, 938
02-13-17 11:55, 6022, 829
02-13-17 11:56, 5987, 789
02-13-17 11:57, 6231, 848
02-13-17 11:58, 6428, 987
02-13-17 11:59, 6370, 985
02-13-17 12:00, 6296, 941
02-13-17 12:01, 6220, 920
02-13-17 12:02, 6232, 924
02-13-17 12:03, 6260, 911
02-13-17 12:04, 6156, 879
02-13-17 12:05, 6133, 870
02-13-17 12:06, 6065, 856
02-13-17 12:07, 6024, 873
02-13-17 12:08, 6043, 822
02-13-17 12:09, 5973, 782
02-13-17 12:10, 5975, 805
02-13-17 12:11, 5911, 787
02-13-17 12:12, 5989, 824
02-13-17 12:13, 5869, 789
02-13-17 12:14, 5540, 592
02-13-17 12:15, 5445, 593
02-13-17 12:16, 5630, 645
02-13-17 12:17, 5734, 698
02-13-17 12:18, 5761, 708
02-13-17 12:19, 5827, 707
02-13-17 12:20, 5736, 738
02-13-17 12:21, 5758, 711
02-13-17 12:22, 5653, 659
02-13-17 12:23, 5843, 787
02-13-17 12:24, 6321, 1013
02-13-17 12:25, 6576, 1135
02-13-17 12:26, 5851, 771
02-13-17 12:27, 6757, 1304
02-13-17 12:28, 6788, 1275
02-13-17 12:29, 5796, 772
02-13-17 12:30, 5545, 596
02-13-17 12:31, 5782, 728
02-13-17 12:32, 5758, 722
02-13-17 12:33, 5675, 634
02-13-17 12:34, 5487, 591
02-13-17 12:35, 5429, 552
02-13-17 12:36, 5409, 540
02-13-17 12:37, 5422, 505
02-13-17 12:38, 5345, 479
02-13-17 12:39, 5349, 497
02-13-17 12:40, 5426, 482
02-13-17 12:41, 5354, 446
02-13-17 12:42, 5379, 451
02-13-17 12:43, 5388, 443
02-13-17 12:44, 5216, 429
02-13-17 12:45, 5233, 373
02-13-17 12:46, 5260, 364
02-13-17 12:47, 5068, 343
02-13-17 12:48, 4998, 317
02-13-17 12:49, 5183, 354
02-13-17 12:50, 5197, 323
02-13-17 12:51, 5153, 324
02-13-17 12:52, 5174, 302
02-13-17 12:53, 5129, 319
02-13-17 12:54, 5218, 321
02-13-17 12:55, 5218, 326
02-13-17 12:56, 5205, 319
02-13-17 12:57, 5182, 292
02-13-17 12:58, 5132, 267
02-13-17 12:59, 5160, 278
02-13-17 13:00, 5090, 255
02-13-17 13:01, 5086, 259
02-13-17 13:02, 5135, 269
02-13-17 13:03, 5167, 261
02-13-17 13:04, 5136, 248
02-13-17 13:05, 5045, 266
02-13-17 13:06, 5212, 301
02-13-17 13:07, 5367, 429
02-13-17 13:08, 5402, 492
02-13-17 13:09, 5467, 507
02-13-17 13:10, 5556, 566
02-13-17 13:11, 5612, 610
02-13-17 13:12, 5784, 635
02-13-17 13:13, 5534, 574
02-13-17 13:14, 10440, 4245
02-13-17 13:15, 6745, 1229
02-13-17 13:16, 6710, 1080
02-13-17 13:17, 6984, 1192
02-13-17 13:18, 6959, 1145
02-13-17 13:19, 7078, 1255
02-13-17 13:20, 6934, 1181
02-13-17 13:21, 6660, 1059
02-13-17 13:22, 6797, 1148
02-13-17 13:23, 6966, 1184
02-13-17 13:24, 9706, 3053
02-13-17 13:25, 9604, 2946
02-13-17 13:26, 10657, 3841
02-13-17 13:27, 8715, 2370
02-13-17 13:28, 8737, 2474
02-13-17 13:29, 8606, 2407
02-13-17 13:30, 8163, 2102
02-13-17 13:31, 7823, 1897
02-13-17 13:32, 7766, 1849
02-13-17 13:33, 7617, 1744
02-13-17 13:34, 7458, 1689
02-13-17 13:35, 7316, 1584
02-13-17 13:36, 7134, 1560
02-13-17 13:37, 7295, 1622
02-13-17 13:38, 7354, 1620
02-13-17 13:39, 7187, 1583
02-13-17 13:40, 6994, 1467
02-13-17 13:41, 6938, 1409
02-13-17 13:42, 6962, 1440
02-13-17 13:43, 6828, 1343
02-13-17 13:44, 6725, 1351
02-13-17 13:45, 6654, 1279
02-13-17 13:46, 6596, 1242
02-13-17 13:47, 6528, 1198
02-13-17 13:48, 6583, 1220
02-13-17 13:49, 6464, 1171
02-13-17 13:50, 6315, 1133
02-13-17 13:51, 6351, 1118
02-13-17 13:52, 6289, 1139
02-13-17 13:53, 6273, 1093
02-13-17 13:54, 6199, 1049
02-13-17 13:55, 6169, 1066
02-13-17 13:56, 6129, 981
02-13-17 13:57, 6046, 960
02-13-17 13:58, 6124, 1038
02-13-17 13:59, 6011, 974
02-13-17 14:00, 5951, 934
02-13-17 14:01, 6008, 940
02-13-17 14:02, 5858, 891
02-13-17 14:03, 5923, 884
02-13-17 14:04, 5941, 884
02-13-17 14:05, 5830, 888
02-13-17 14:06, 5846, 848
02-13-17 14:07, 5725, 864
02-13-17 14:08, 5796, 871
02-13-17 14:09, 5767, 879
02-13-17 14:10, 5673, 804
02-13-17 14:11, 5646, 844
02-13-17 14:12, 5715, 827
02-13-17 14:13, 5719, 790
02-13-17 14:14, 5701, 831
02-13-17 14:15, 5651, 809
02-13-17 14:16, 5688, 813
02-13-17 14:17, 5726, 823
02-13-17 14:18, 5665, 823
02-13-17 14:19, 5700, 830
02-13-17 14:20, 5728, 827
02-13-17 14:21, 5621, 796
02-13-17 14:22, 5650, 808
02-13-17 14:23, 5622, 791
02-13-17 14:24, 5573, 743
02-13-17 14:25, 5551, 736
02-13-17 14:26, 5511, 742
02-13-17 14:27, 5444, 755
02-13-17 14:28, 5514, 758
02-13-17 14:29, 5521, 762
02-13-17 14:30, 5479, 752
02-13-17 14:31, 5454, 779
02-13-17 14:32, 5407, 741
02-13-17 14:33, 5458, 749
02-13-17 14:34, 5419, 777
02-13-17 14:35, 5397, 719
02-13-17 14:36, 5418, 746
02-13-17 14:37, 5365, 698
02-13-17 14:38, 5309, 693
02-13-17 14:39, 5300, 692
02-13-17 14:40, 5316, 686
02-13-17 14:41, 5266, 688
02-13-17 14:42, 5206, 669
02-13-17 14:43, 5203, 676
02-13-17 14:44, 5172, 655
02-13-17 14:45, 5233, 705
02-13-17 14:46, 5249, 703
02-13-17 14:47, 5292, 722
02-13-17 14:48, 5302, 722
02-13-17 14:49, 5370, 707
02-13-17 14:50, 5266, 722
02-13-17 14:51, 5372, 716
02-13-17 14:52, 5311, 703
02-13-17 14:53, 5244, 707
02-13-17 14:54, 5192, 686
02-13-17 14:55, 5245, 691
02-13-17 14:56, 5323, 716
02-13-17 14:57, 5233, 705
02-13-17 14:58, 5189, 649
02-13-17 14:59, 5188, 655
02-13-17 15:00, 5156, 646
02-13-17 15:01, 5203, 656
02-13-17 15:02, 5128, 666
02-13-17 15:03, 5105, 629
02-13-17 15:04, 5165, 640
02-13-17 15:05, 5170, 652
02-13-17 15:06, 5103, 625
02-13-17 15:07, 5104, 666
02-13-17 15:08, 5215, 670
02-13-17 15:09, 5157, 666
02-13-17 15:10, 5138, 641
02-13-17 15:11, 5118, 660
02-13-17 15:12, 5204, 701
02-13-17 15:13, 5169, 694
02-13-17 15:14, 5157, 691
02-13-17 15:15, 5177, 647
02-13-17 15:16, 5286, 702
02-13-17 15:17, 5247, 695
02-13-17 15:18, 5152, 672
02-13-17 15:19, 5158, 651
02-13-17 15:20, 5059, 631
02-13-17 15:21, 5093, 656
02-13-17 15:22, 5121, 661
02-13-17 15:23, 5052, 635
02-13-17 15:24, 5045, 634
02-13-17 15:25, 5014, 630
