------------------------------
Dylos Logger v 2.0.0.0
Unit: DC1700 v 2.08
Date/Time: 02-03-17 16:43
------------------------------
Particles per cubic foot / 100
------------------------------
Date/Time, Small, Large
02-03-17 11:04, 17586, 1244
02-03-17 11:05, 14610, 931
02-03-17 11:06, 12380, 850
02-03-17 11:07, 10841, 805
02-03-17 11:08, 10026, 800
02-03-17 11:09, 9548, 819
02-03-17 11:10, 9002, 805
02-03-17 11:11, 8718, 831
02-03-17 11:12, 8142, 809
02-03-17 11:13, 8022, 796
02-03-17 11:14, 8151, 829
02-03-17 11:15, 7753, 824
02-03-17 11:16, 7345, 755
02-03-17 11:17, 7277, 768
02-03-17 11:18, 7131, 728
02-03-17 11:19, 6939, 724
02-03-17 11:20, 6995, 726
02-03-17 11:21, 6967, 738
02-03-17 11:22, 6901, 706
02-03-17 11:23, 6697, 674
02-03-17 11:24, 6707, 661
02-03-17 11:25, 6678, 693
02-03-17 11:26, 6551, 661
02-03-17 11:27, 6478, 669
02-03-17 11:28, 6437, 635
02-03-17 11:29, 6489, 644
02-03-17 11:30, 6453, 641
02-03-17 11:31, 6240, 611
02-03-17 11:32, 6211, 607
02-03-17 11:33, 6314, 642
02-03-17 11:34, 6301, 623
02-03-17 11:35, 6390, 622
02-03-17 11:36, 6331, 615
02-03-17 11:37, 6270, 621
02-03-17 11:38, 6335, 658
02-03-17 11:39, 6086, 590
02-03-17 11:40, 6167, 609
02-03-17 11:41, 6295, 613
02-03-17 11:42, 6337, 634
02-03-17 11:43, 6317, 621
02-03-17 11:44, 6270, 628
02-03-17 11:45, 6407, 700
02-03-17 11:46, 6280, 698
02-03-17 11:47, 6335, 683
02-03-17 11:48, 6280, 668
02-03-17 11:49, 6247, 656
02-03-17 11:50, 6191, 670
02-03-17 11:51, 6175, 618
02-03-17 11:52, 6110, 619
02-03-17 11:53, 6072, 584
02-03-17 11:54, 6091, 605
02-03-17 11:55, 6152, 630
02-03-17 11:56, 6134, 604
02-03-17 11:57, 6049, 594
02-03-17 11:58, 5941, 580
02-03-17 11:59, 5938, 548
02-03-17 12:00, 5856, 551
02-03-17 12:01, 5805, 586
02-03-17 12:02, 5799, 572
02-03-17 12:03, 5766, 547
02-03-17 12:04, 5820, 548
02-03-17 12:05, 5673, 515
02-03-17 12:06, 5734, 569
02-03-17 12:07, 5673, 524
02-03-17 12:08, 5706, 492
02-03-17 12:09, 5678, 512
02-03-17 12:10, 5645, 513
02-03-17 12:11, 5609, 530
02-03-17 12:12, 5579, 489
02-03-17 12:13, 5575, 495
02-03-17 12:14, 5500, 508
02-03-17 12:15, 5508, 499
02-03-17 12:16, 5460, 471
02-03-17 12:17, 5482, 472
02-03-17 12:18, 5477, 483
02-03-17 12:19, 5512, 484
02-03-17 12:20, 5574, 522
02-03-17 12:21, 5528, 531
02-03-17 12:22, 5595, 501
02-03-17 12:23, 5586, 559
02-03-17 12:24, 5678, 582
02-03-17 12:25, 5667, 590
02-03-17 12:26, 5818, 632
02-03-17 12:27, 5868, 658
02-03-17 12:28, 5913, 695
02-03-17 12:29, 5917, 682
02-03-17 12:30, 5930, 707
02-03-17 12:31, 5797, 685
02-03-17 12:32, 5965, 701
02-03-17 12:33, 5926, 694
02-03-17 12:34, 5789, 690
02-03-17 12:35, 5847, 683
02-03-17 12:36, 5952, 684
02-03-17 12:37, 5857, 682
02-03-17 12:38, 5933, 707
02-03-17 12:39, 5820, 681
02-03-17 12:40, 5898, 690
02-03-17 12:41, 5822, 668
02-03-17 12:42, 5763, 655
02-03-17 12:43, 5699, 657
02-03-17 12:44, 5713, 657
02-03-17 12:45, 5687, 636
02-03-17 12:46, 5709, 647
02-03-17 12:47, 5623, 616
02-03-17 12:48, 5659, 625
02-03-17 12:49, 5641, 605
02-03-17 12:50, 5516, 617
02-03-17 12:51, 5621, 588
02-03-17 12:52, 5541, 560
02-03-17 12:53, 5571, 581
02-03-17 12:54, 5500, 596
02-03-17 12:55, 5519, 581
02-03-17 12:56, 5507, 595
02-03-17 12:57, 5540, 570
02-03-17 12:58, 5460, 572
02-03-17 12:59, 5463, 602
02-03-17 13:00, 5454, 582
02-03-17 13:01, 5447, 569
02-03-17 13:02, 5476, 588
02-03-17 13:03, 5699, 732
02-03-17 13:04, 5574, 681
02-03-17 13:05, 5571, 690
02-03-17 13:06, 5591, 651
02-03-17 13:07, 5630, 691
02-03-17 13:08, 5673, 737
02-03-17 13:09, 5605, 668
02-03-17 13:10, 5548, 677
02-03-17 13:11, 5647, 690
02-03-17 13:12, 5794, 771
02-03-17 13:13, 5827, 818
02-03-17 13:14, 6034, 957
02-03-17 13:15, 6249, 1065
02-03-17 13:16, 6188, 1005
02-03-17 13:17, 6271, 1044
02-03-17 13:18, 6258, 1033
02-03-17 13:19, 6287, 1015
02-03-17 13:20, 6263, 1036
02-03-17 13:21, 6615, 1155
02-03-17 13:22, 6557, 1159
02-03-17 13:23, 6290, 1061
02-03-17 13:24, 6271, 1044
02-03-17 13:25, 6386, 1079
02-03-17 13:26, 6339, 1040
02-03-17 13:27, 6379, 1140
02-03-17 13:28, 6661, 1228
02-03-17 13:29, 6561, 1188
02-03-17 13:30, 6812, 1296
02-03-17 13:31, 6859, 1285
02-03-17 13:32, 6667, 1268
02-03-17 13:33, 6950, 1350
02-03-17 13:34, 7127, 1396
02-03-17 13:35, 7206, 1513
02-03-17 13:36, 7105, 1453
02-03-17 13:37, 6883, 1366
02-03-17 13:38, 6840, 1346
02-03-17 13:39, 6828, 1341
02-03-17 13:40, 6772, 1272
02-03-17 13:41, 6621, 1253
02-03-17 13:42, 6660, 1263
02-03-17 13:43, 6606, 1227
02-03-17 13:44, 6552, 1228
