------------------------------
Dylos Logger v 2.0.0.0
Unit: DC1100
Date/Time: 02-21-17 09:46
------------------------------
Particles per cubic foot / 100
------------------------------
Small, Large
02-20-17 14:11, 6831, 1034
02-20-17 14:12, 6820, 1018
02-20-17 14:13, 6716, 1002
02-20-17 14:14, 6806, 1011
02-20-17 14:15, 6744, 1004
02-20-17 14:16, 6705, 970
02-20-17 14:17, 6592, 944
02-20-17 14:18, 6613, 928
02-20-17 14:19, 6447, 936
02-20-17 14:20, 6498, 932
02-20-17 14:21, 6528, 927
02-20-17 14:22, 6414, 863
02-20-17 14:23, 6370, 879
02-20-17 14:24, 6422, 885
02-20-17 14:25, 6306, 823
02-20-17 14:26, 6224, 814
02-20-17 14:27, 6314, 828
02-20-17 14:28, 6183, 822
02-20-17 14:29, 6242, 771
02-20-17 14:30, 6237, 821
02-20-17 14:31, 6128, 803
02-20-17 14:32, 6119, 764
02-20-17 14:33, 6117, 803
02-20-17 14:34, 6117, 795
02-20-17 14:35, 6025, 766
02-20-17 14:36, 6056, 794
02-20-17 14:37, 6073, 775
02-20-17 14:38, 5952, 747
02-20-17 14:39, 6015, 752
02-20-17 14:40, 5987, 737
02-20-17 14:41, 5936, 732
02-20-17 14:42, 5989, 731
02-20-17 14:43, 5929, 723
02-20-17 14:44, 5834, 702
02-20-17 14:45, 5790, 689
02-20-17 14:46, 5807, 707
02-20-17 14:47, 5793, 692
02-20-17 14:48, 5750, 677
02-20-17 14:49, 5689, 671
02-20-17 14:50, 5717, 684
02-20-17 14:51, 5684, 673
02-20-17 14:52, 5770, 686
02-20-17 14:53, 5683, 676
02-20-17 14:54, 5623, 653
02-20-17 14:55, 5684, 671
02-20-17 14:56, 5610, 639
02-20-17 14:57, 5556, 681
02-20-17 14:58, 5660, 643
02-20-17 14:59, 5516, 617
02-20-17 15:00, 5624, 641
02-20-17 15:01, 5558, 643
02-20-17 15:02, 5668, 690
02-20-17 15:03, 5657, 714
02-20-17 15:04, 5590, 725
02-20-17 15:05, 5685, 756
02-20-17 15:06, 5734, 774
02-20-17 15:07, 5774, 796
02-20-17 15:08, 5714, 791
02-20-17 15:09, 5710, 763
02-20-17 15:10, 5769, 794
02-20-17 15:11, 5792, 834
02-20-17 15:12, 5707, 811
02-20-17 15:13, 5706, 819
02-20-17 15:14, 5678, 765
02-20-17 15:15, 5678, 804
02-20-17 15:16, 5639, 757
02-20-17 15:17, 5689, 782
02-20-17 15:18, 5493, 727
02-20-17 15:19, 5621, 751
02-20-17 15:20, 5515, 731
02-20-17 15:21, 5560, 752
02-20-17 15:22, 5496, 715
02-20-17 15:23, 5560, 728
02-20-17 15:24, 5597, 752
02-20-17 15:25, 5448, 743
02-20-17 15:26, 5512, 720
02-20-17 15:27, 5464, 701
02-20-17 15:28, 5429, 693
02-20-17 15:29, 5468, 731
02-20-17 15:30, 5432, 711
02-20-17 15:31, 5363, 694
02-20-17 15:32, 5405, 704
02-20-17 15:33, 5373, 697
02-20-17 15:34, 5339, 707
02-20-17 15:35, 5444, 722
02-20-17 15:36, 5358, 707
02-20-17 15:37, 5379, 712
02-20-17 15:38, 5328, 696
02-20-17 15:39, 5272, 682
02-20-17 15:40, 5172, 680
02-20-17 15:41, 5207, 672
02-20-17 15:42, 5138, 662
02-20-17 15:43, 5237, 717
02-20-17 15:44, 5243, 701
02-20-17 15:45, 5237, 695
02-20-17 15:46, 5332, 725
02-20-17 15:47, 5295, 790
02-20-17 15:48, 5309, 745
02-20-17 15:49, 5273, 762
02-20-17 15:50, 5288, 746
02-20-17 15:51, 5248, 743
02-20-17 15:52, 5270, 744
02-20-17 15:53, 5283, 754
02-20-17 15:54, 5330, 759
02-20-17 15:55, 5481, 821
02-20-17 15:56, 5289, 763
02-20-17 15:57, 5506, 841
02-20-17 15:58, 5482, 855
02-20-17 15:59, 5365, 805
02-20-17 16:00, 5461, 827
02-20-17 16:01, 5408, 803
02-20-17 16:02, 5531, 897
02-20-17 16:03, 5520, 838
